LocalTime,Type,Symbol,ClientOrderID,ExchangeOrderID,ExchangeTradeID/UserProductInfo,Price/YdPosition,OrigionVolume/Position,TradedVolume/TdPosition,Side,OpenClose,OrderType,InsertTime,CancelTime,Status,Text
20241129_03:21:09,MSG,,,,,,,,,,,,,,Authenticate:正确
20241129_03:21:10,MSG,,,,,,,,,,,,,,212893 Login:正确
20241129_03:21:12,RP,hc2501,N/A,N/A,N/A,1,1,0,L,History,N/A,N/A,N/A,N/A,N/A
20241129_03:21:12,RP,SA501,N/A,N/A,N/A,0,1,1,L,Today,N/A,N/A,N/A,N/A,N/A
20241129_03:21:12,RP,FG501,N/A,N/A,N/A,0,1,1,L,Today,N/A,N/A,N/A,N/A,N/A
20241129_03:21:58,RO,FG501,2036,        3915,Pandora,1247.000000,1,1,B,Open,Limit,02:57:03,,全部成交,全部成交
20241129_03:21:58,RO,SA501,4074,        3916,Pandora,1503.000000,1,1,B,Open,Limit,02:57:03,,全部成交,全部成交
20241129_03:21:59,RT,FG501,2036,        3915,2024112700002433,1247.000000,N/A,1,B,Open,N/A,03:01:33,N/A,N/A,N/A
20241129_03:21:59,RT,SA501,4074,        3916,2024112700002436,1503.000000,N/A,1,B,Open,N/A,03:09:46,N/A,N/A,N/A
20241129_03:22:00,IO,FG501,6228,,,1243.000000,1,0,S,Close,Limit,N/A,N/A,N/A,CancelCount:0
20241129_03:22:00,UO,FG501,6228,,Pandora,1243.000000,1,0,S,Close,Limit,03:22:03,,未知,报单已提交
20241129_03:22:00,IO,SA501,8265,,,1505.000000,1,0,S,Close,Limit,N/A,N/A,N/A,CancelCount:0
20241129_03:22:00,UO,FG501,6228,        3986,Pandora,1243.000000,1,0,S,Close,Limit,03:22:03,,未知,报单已提交
20241129_03:22:00,UO,FG501,6228,        3986,Pandora,1243.000000,1,1,S,Close,Limit,03:22:03,,全部成交,全部成交报单已提交
20241129_03:22:00,UT,FG501,6228,        3986,2024112700002476,1243.000000,N/A,1,S,Close,,03:22:03,N/A,N/A,N/A
20241129_03:22:00,UO,SA501,8265,,Pandora,1505.000000,1,0,S,Close,Limit,03:22:03,,未知,报单已提交
20241129_03:22:00,UO,SA501,8265,        3987,Pandora,1505.000000,1,0,S,Close,Limit,03:22:03,,未知,报单已提交
20241129_03:22:00,UO,SA501,8265,        3987,Pandora,1505.000000,1,1,S,Close,Limit,03:22:03,,全部成交,全部成交报单已提交
20241129_03:22:00,UT,SA501,8265,        3987,2024112700002477,1505.000000,N/A,1,S,Close,,03:22:03,N/A,N/A,N/A
20241129_03:22:01,IO,FG501,10074,,,1243.000000,1,0,B,Open,Limit,N/A,N/A,N/A,CancelCount:0
20241129_03:22:01,IO,SA501,12055,,,1506.000000,1,0,B,Open,Limit,N/A,N/A,N/A,CancelCount:0
20241129_03:22:01,UO,FG501,10074,,Pandora,1243.000000,1,0,B,Open,Limit,03:22:04,,未知,报单已提交
20241129_03:22:01,UO,FG501,10074,        3988,Pandora,1243.000000,1,0,B,Open,Limit,03:22:04,,未成交(队),未成交
20241129_03:22:01,UO,SA501,12055,,Pandora,1506.000000,1,0,B,Open,Limit,03:22:04,,未知,报单已提交
20241129_03:22:01,UO,SA501,12055,        3989,Pandora,1506.000000,1,0,B,Open,Limit,03:22:04,,未成交(队),未成交
